Date,001M,002M,003M,006M,009M,012M,018M,024M,036M,048M,060M,084M,120M,180M,240M,300M,360M
20100301,0.083448462,0.112804533,0.132578104,0.188633094,0.238341888,0.320600708,0.55058691,0.802949804,1.344579956,1.839469798,2.282864092,3.043791959,3.614222289,4.080191124,4.327701139,4.473649621,4.562457558
20100302,0.093754999,0.109105733,0.130872261,0.18942546,0.238941037,0.319183556,0.553009387,0.801445053,1.332466937,1.823154119,2.267639915,3.034939899,3.611029243,4.081911911,4.333178264,4.482314789,4.572052086
20100303,0.09861888,0.120093984,0.141658391,0.194541412,0.24432833,0.32511978,0.564822238,0.816059481,1.341647563,1.827704941,2.268659029,3.044113163,3.624003127,4.098733276,4.350188625,4.499478708,4.589365793
20100304,0.102415446,0.122552834,0.146480582,0.19889811,0.250495321,0.342901684,0.601120551,0.862328667,1.374489032,1.846302186,2.276135286,3.035865552,3.609828384,4.077730775,4.325232209,4.471903882,4.560649776
20100305,0.112860263,0.141663215,0.15531747,0.205284048,0.271659462,0.371366134,0.637761186,0.906619121,1.432900114,1.916929765,2.347182487,3.102018784,3.686589991,4.159663787,4.407628746,4.554982135,4.643907522
20100308,0.107502169,0.136312227,0.154774108,0.209232239,0.2797156,0.38067755,0.641573791,0.908181423,1.445570558,1.935143773,2.375580957,3.139372447,3.720449623,4.195629702,4.448009501,4.59646136,4.686227825
20100309,0.113924852,0.132987733,0.156443356,0.210232121,0.277020526,0.373345658,0.630474093,0.890758416,1.411579532,1.900377488,2.343900829,3.10856295,3.706383758,4.187314702,4.43908634,4.587168163,4.676228973
20100310,0.120348209,0.13271938,0.1519549,0.215510102,0.285893563,0.378377092,0.649934923,0.92194301,1.449409778,1.943557648,2.387600564,3.144610237,3.726700808,4.202277399,4.453381392,4.602023391,4.691161563
20100311,0.112813821,0.131553025,0.157324611,0.219810102,0.296652207,0.403200137,0.68729942,0.968872843,1.491762719,1.984414335,2.424749115,3.16312224,3.732458322,4.19453271,4.437468089,4.580898955,4.667453215
20100312,0.108347429,0.136629372,0.155628799,0.23249109,0.312365829,0.416819845,0.69683825,0.973778021,1.504994615,1.993043216,2.420514064,3.146422577,3.70905413,4.163358264,4.40079323,4.541909314,4.627145253
20100315,0.115627168,0.134891818,0.156538192,0.241045163,0.31405728,0.413735088,0.692166555,0.967009275,1.495858468,1.977987586,2.409509563,3.144701029,3.702726583,4.15857651,4.400406266,4.542787802,4.629031897
20100316,0.130469839,0.142371731,0.166672719,0.241283481,0.303299316,0.394184832,0.669927546,0.941700623,1.462673773,1.93706699,2.36428593,3.094119219,3.659383392,4.118319884,4.36122677,4.504960975,4.591312788
20100317,0.140377458,0.138202689,0.15415605,0.240474452,0.298468042,0.385493595,0.669855286,0.948890651,1.472089287,1.952432055,2.37828858,3.0956752,3.64674269,4.099914211,4.341087831,4.48464684,4.570799511
20100318,0.136917089,0.13651086,0.158082356,0.244539067,0.304364486,0.402677304,0.698546514,0.988577057,1.516210772,2.00301405,2.432218999,3.143622912,3.685268757,4.130639776,4.368298422,4.509603066,4.594625169
20100319,0.145231692,0.145555892,0.158127019,0.251352386,0.325398785,0.431367733,0.733828523,1.027064076,1.574287604,2.061145594,2.477320474,3.166010341,3.700166593,4.134856991,4.364062189,4.500937585,4.583463305
20100322,0.131621836,0.131204415,0.148843826,0.246222805,0.313303575,0.414763155,0.715199714,1.003344795,1.538156001,2.011789096,2.426197525,3.115306246,3.670460067,4.117871844,4.35184382,4.488996374,4.572426746
20100323,0.119858244,0.115583163,0.135986215,0.235581985,0.304544375,0.407403895,0.724218397,1.019691198,1.55308223,2.023508074,2.437157425,3.126149293,3.696762701,4.151436186,4.387142335,4.525518669,4.608955729
20100324,0.120161168,0.120421411,0.139997337,0.243452134,0.3244978,0.433409241,0.751897374,1.069438806,1.676716549,2.181907002,2.608543266,3.303443295,3.857468864,4.296784535,4.520634306,4.651527219,4.730676132
20100325,0.113357077,0.116955173,0.143079957,0.245140688,0.319154399,0.431896446,0.742471782,1.061430638,1.673172365,2.184313323,2.620674794,3.332529461,3.881973767,4.319645595,4.544438094,4.6759434,4.75552374
20100326,0.123356899,0.134564332,0.149201439,0.248167684,0.318641825,0.424878812,0.724443469,1.031381457,1.635127876,2.14982573,2.584641223,3.307150465,3.85451658,4.295935531,4.525753507,4.661996883,4.743898538
20100329,0.116403084,0.12036198,0.138021763,0.241253015,0.30949047,0.416239138,0.72228928,1.034243449,1.648240642,2.157319147,2.594567745,3.322611173,3.870523637,4.314288361,4.546870207,4.682920248,4.765112786
20100330,0.127569951,0.139737505,0.155622224,0.239764829,0.316695726,0.426309615,0.738531781,1.057708096,1.650715532,2.160737636,2.598935405,3.308701273,3.86251467,4.303327164,4.530769023,4.663823822,4.743855956
